example_type,scan_date,symbol,trade_bucket,source_bucket,reason_codes,kumo_rank_by_score,kumo_score,george_rank,george_watchlist_rank,best_entry_assumption,best_entry_ret_20d_close_pct,best_entry_mfe_20d_pct,best_entry_mae_20d_pct,best_deployable_exit_policy_id,best_deployable_total_equity_ret_40d_pct,model_combined_score
kumo_addition_optimal,2025-09-15,RR,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,100.0,8.0,,,pullback_1pct_reclaim,62.7848,88.1013,-5.9494,fixed_t4_s2,-2.0,1.3852232163425464
video_context_optimal,2025-09-15,TSLA,optimal,kumo_with_george_video_context,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;normal_winner,1.0,8.0,13.0,,next_open,5.1786,13.5719,-1.1641,fixed_t8_s4,8.0,0.9096407981454426
video_context_optimal,2025-09-15,XLK,optimal,kumo_with_george_video_context,realistic_entry_triggered;ret20_ge_4;target4_before_stop2;normal_winner,15.0,8.0,19.0,,next_open,4.0956,6.3479,-1.9456,swinglow3_after8,9.2973,-0.5714770838593234
kumo_addition_optimal,2025-09-16,APLD,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,80.0,8.0,,,next_open,83.2288,105.4859,-1.3584,time10_lt2_hard6,48.3804,0.519724184966171
kumo_addition_optimal,2025-09-16,IREN,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;runner_candidate;normal_winner,33.0,8.0,,,next_open,94.2665,102.2095,-3.1744,time10_lt2_hard6,61.404,0.8648564493455608
kumo_addition_optimal,2025-09-16,QBTS,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,49.0,8.0,,,next_open,126.5543,138.6723,-0.2634,time10_lt2_hard6,54.373,0.7100430710411476
kumo_addition_optimal,2025-09-17,PSLV,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,64.0,8.0,,,next_open,25.4823,25.5666,-0.4958,time10_lt2_hard6,25.2833,0.6027751724604318
kumo_addition_optimal,2025-09-17,QBTS,optimal,kumo_only,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,15.0,8.0,,,prior_session_high_breakout,96.3708,104.4163,-1.749,time10_lt2_hard6,16.3096,1.0143772247177467
kumo_addition_optimal,2025-09-17,SLV,optimal,kumo_with_george_video_context,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,37.0,8.0,24.0,,next_open,27.772,27.8827,-0.6472,time10_lt2_hard6,27.5921,0.6121223874110773
video_context_optimal,2025-09-17,SLV,optimal,kumo_with_george_video_context,realistic_entry_triggered;ret20_ge_4;mfe20_ge_8;target4_before_stop2;runner_candidate;normal_winner,37.0,8.0,24.0,,next_open,27.772,27.8827,-0.6472,time10_lt2_hard6,27.5921,0.6121223874110773
