variant_id,symbol,entry_date,exit_date,duration_days,entry_price,exit_price,pnl,return_pct,exit_reason,exit_event
target_04_fast_take,TSLA,2025-01-03,2025-01-06,3.0,383.65173,422.9890248,393.3729479999999,10.253,,
target_04_fast_take,ORCL,2025-06-16,2025-07-03,17.0,212.94642,233.1035325,362.8280250000002,9.466,,
target_04_fast_take,GOOGL,2025-08-29,2025-09-04,6.0,211.655775,229.535025,357.5849999999997,8.447,,
target_04_fast_take,TSLA,2025-09-23,2025-10-02,9.0,435.167475,470.30694,351.39464999999973,8.075,,
target_04_fast_take,HD,2025-01-03,2025-01-28,25.0,388.5791925,423.02971,344.50517500000046,8.866,,
target_04_fast_take,NFLX,2025-01-03,2025-01-29,26.0,893.4715125,979.5102175,344.15481999999975,9.63,,
target_04_fast_take,AMD,2025-06-11,2025-06-24,13.0,123.62167995,133.3627,311.71264159999964,7.88,,
target_04_fast_take,CRM,2025-01-03,2025-01-29,26.0,332.796315,358.582815,309.4379999999999,7.748,,
target_04_fast_take,NFLX,2025-02-11,2025-04-25,72.95833333333333,1019.4744825,1096.4885,308.05606999999964,7.554,,
target_04_fast_take,AMD,2025-07-14,2025-07-16,1.9652777777777777,144.502215,155.2323275,300.4431499999997,7.426,,
target_04_fast_take,GOOGL,2025-09-16,2025-10-28,42.0,251.99883645,269.5549315,298.4536158500002,6.967,,
target_04_fast_take,AVGO,2025-09-09,2025-09-11,2.0,346.6866567,370.996215,291.7146995999999,7.012,,
target_08_let_run,ORCL,2025-08-04,2025-09-16,43.0,247.38363,313.904,1064.3259199999998,26.89,,
target_08_let_run,AMD,2025-07-30,2025-10-07,69.0,176.858385,214.74118,871.3042850000004,21.42,,
target_08_let_run,TSLA,2025-05-20,2025-09-15,117.98958333333331,346.13298,422.918,844.6352200000003,22.184,,
target_08_let_run,GOOGL,2025-10-31,2025-11-25,25.041666666666668,283.951905,326.04843845,673.5445351999997,14.825,,
target_08_let_run,GOOGL,2025-09-16,2025-10-30,44.0,251.99883645,291.44735,670.6247303499995,15.654,,
target_08_let_run,AMD,2025-07-16,2025-07-29,13.0,155.4226725,175.116265,512.0334049999999,12.671,,
target_08_let_run,AMD,2025-10-08,2025-10-09,1.0,212.396145,236.18245,499.51240499999994,11.199,,
target_08_let_run,ORCL,2025-02-19,2025-06-13,113.95833333333331,179.26959,201.47827,488.59096000000034,12.388,,
target_08_let_run,GOOGL,2025-08-25,2025-09-04,10.0,205.9479225,229.535025,471.7420499999997,11.453,,
target_08_let_run,AMD,2025-10-09,2025-10-28,19.0,235.21755,259.009795,452.0526550000002,10.115,,
target_08_let_run,ABBV,2025-03-10,2025-10-02,206.0,214.7323125,240.768905,442.6220724999997,12.125,,
target_08_let_run,AVGO,2025-08-13,2025-09-09,27.0,316.3430925,349.3717433,429.37246039999974,10.441,,
target_08_let_run,AVGO,2025-01-03,2025-06-04,151.95833333333334,233.2895865,257.92948,418.8781895,10.562,,
target_08_let_run,AMD,2025-06-25,2025-07-16,20.989583333333332,140.49751365,155.2323275,412.57478779999985,10.488,,
target_08_let_run,NVDA,2025-08-04,2025-10-10,67.0,175.64778,193.408745,408.502195,10.112,,
target_08_let_run,AMD,2025-06-17,2025-06-25,8.0,127.76385,140.86952,406.2757699999997,10.258,,
target_08_let_run,TSLA,2025-11-05,2025-12-17,42.0,447.9702732,487.973505,400.0323179999998,8.93,,
target_08_let_run,AAPL,2025-10-13,2025-10-28,15.0,246.90339,268.8504075,395.0463150000003,8.889,,
target_08_let_run,GOOGL,2025-09-04,2025-09-16,12.0,230.064975,251.95406355,394.00359389999994,9.514,,
target_08_let_run,ABBV,2025-01-03,2025-02-19,47.0,179.319615,196.691735,382.1866399999999,9.688,,
