variant_id,base_module,scanner_setting,symbol,entry_order_id,entry_time,entry_date,entry_price,quantity,entry_cost,status,decision_rank,allocated_unrealized_est,age_days_to_fy_end
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,UNH,101,2025-04-10T13:36:00Z,2025-04-10,584.952330,6.000000,3509.71,open,31.000,-536.93,265
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,MSFT,270,2025-10-29T13:31:00Z,2025-10-29,542.699614,8.000000,4341.60,open,11.000,-533.85,63
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,V,133,2025-05-21T14:27:00Z,2025-05-21,363.976898,10.000000,3639.77,open,47.000,-533.67,224
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,MA,107,2025-05-13T13:31:00Z,2025-05-13,579.779745,6.000000,3478.68,open,62.000,-532.19,232
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,AAPL,300,2025-12-02T15:57:00Z,2025-12-02,287.098978,15.000000,4306.48,open,10.000,-529.54,29
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,AMZN,280,2025-11-04T14:36:00Z,2025-11-04,251.605740,17.000000,4277.30,open,6.000,-525.95,57
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,ABBV,246,2025-10-03T13:31:00Z,2025-10-03,237.086284,18.000000,4267.55,open,113.000,-524.75,89
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,NVDA,230,2025-10-30T13:46:00Z,2025-10-30,204.192045,22.000000,4492.22,open,3.000,-518.45,62
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,AAPL,255,2025-12-01T18:02:00Z,2025-12-01,280.360110,16.000000,4485.76,open,10.000,-517.70,30
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,GOOGL,292,2025-11-25T14:31:00Z,2025-11-25,323.284662,13.000000,4202.70,open,9.000,-516.77,36
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,UNH,125,2025-04-10T13:36:00Z,2025-04-10,584.952330,6.000000,3509.71,open,31.000,-514.60,265
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,AVGO,258,2025-12-09T17:02:00Z,2025-12-09,404.772285,11.000000,4452.50,open,13.000,-513.86,22
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,TSLA,260,2025-12-17T14:31:00Z,2025-12-17,493.236495,9.000000,4439.13,open,3.000,-512.32,14
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,UNH,89,2025-04-15T13:31:00Z,2025-04-15,587.703705,6.000000,3526.22,open,30.000,-512.32,260
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,MA,216,2025-08-26T13:31:00Z,2025-08-26,593.616660,7.000000,4155.32,open,75.000,-510.95,127
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,LLY,252,2025-11-26T14:31:00Z,2025-11-26,1103.781715,4.000000,4415.13,open,22.000,-509.55,35
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,MRK,251,2025-11-26T14:31:00Z,2025-11-26,104.702325,42.000000,4397.50,open,95.000,-507.52,35
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,AMD,234,2025-10-31T13:31:00Z,2025-10-31,258.459265,17.000000,4393.81,open,4.000,-507.09,61
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,LLY,252,2025-11-26T14:31:00Z,2025-11-26,1103.781715,3.000000,3311.35,open,22.000,-506.59,35
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,NVDA,205,2025-10-30T13:46:00Z,2025-10-30,204.192045,22.000000,4492.22,open,3.000,-503.59,62
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,ABBV,206,2025-10-02T13:31:00Z,2025-10-02,242.311095,18.000000,4361.60,open,122.000,-503.37,90
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,AVGO,227,2025-12-11T19:16:00Z,2025-12-11,407.738767,11.000000,4485.13,open,13.000,-502.80,20
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,AAPL,225,2025-12-05T14:31:00Z,2025-12-05,279.639750,16.000000,4474.24,open,8.000,-501.58,26
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,MA,105,2025-05-21T16:27:00Z,2025-05-21,574.297005,6.000000,3445.78,open,67.000,-500.64,224
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,AMD,201,2025-10-28T13:31:00Z,2025-10-28,260.540205,17.000000,4429.18,open,4.000,-496.53,64
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,LLY,219,2025-11-26T14:31:00Z,2025-11-26,1103.781715,4.000000,4415.13,open,22.000,-494.95,35
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,MRK,229,2025-12-31T20:12:00Z,2025-12-31,105.102525,42.000000,4414.31,open,92.000,-494.86,0
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,AMZN,236,2025-11-04T14:36:00Z,2025-11-04,251.605740,17.000000,4277.30,open,6.000,-493.64,57
target04_fast_take_scanner_off,strategies.realized_target_04_fast_take,off,COST,81,2025-02-14T14:31:00Z,2025-02-14,1072.741102,3.000000,3218.22,open,51.000,-492.34,320
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,JPM,262,2025-12-24T14:31:00Z,2025-12-24,325.762800,13.000000,4234.92,open,36.000,-488.75,7
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,ORCL,216,2025-10-10T15:06:00Z,2025-10-10,301.390620,14.000000,4219.47,open,9.000,-486.97,82
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,GOOGL,248,2025-11-25T14:31:00Z,2025-11-25,323.284662,13.000000,4202.70,open,9.000,-485.03,36
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,LLY,245,2025-11-26T14:31:00Z,2025-11-26,1103.781715,3.000000,3311.35,open,22.000,-481.10,35
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,CRM,68,2025-01-29T14:36:00Z,2025-01-29,355.042433,11.000000,3905.47,open,33.000,-480.22,336
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,AMZN,211,2025-11-04T14:36:00Z,2025-11-04,251.605740,17.000000,4277.30,open,6.000,-479.50,57
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,META,200,2025-08-05T13:31:00Z,2025-08-05,775.522568,5.000000,3877.61,open,6.000,-476.80,148
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,ORCL,197,2025-10-14T16:41:00Z,2025-10-14,303.776813,14.000000,4252.88,open,10.000,-476.76,78
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,ABBV,185,2025-10-01T13:32:00Z,2025-10-01,234.292088,18.000000,4217.26,open,134.000,-472.77,91
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,V,145,2025-07-31T13:31:00Z,2025-07-31,349.664745,12.000000,4195.98,open,43.000,-470.38,153
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,GOOGL,218,2025-11-26T14:31:00Z,2025-11-26,321.550695,13.000000,4180.16,open,8.000,-468.61,35
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,HD,67,2025-01-28T15:37:00Z,2025-01-28,420.245018,9.000000,3782.21,open,70.000,-465.07,337
giveback_no_bull_scanner_off,strategies.realized_giveback_no_bull,off,COST,97,2025-02-18T14:32:00Z,2025-02-18,1056.272872,3.000000,3168.82,open,50.000,-464.62,316
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,JPM,183,2025-09-26T16:57:00Z,2025-09-26,317.708775,13.000000,4130.21,open,49.000,-463.01,96
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,V,93,2025-03-03T14:31:00Z,2025-03-03,364.422120,11.000000,4008.64,open,42.000,-462.64,303
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,PG,110,2025-03-04T16:47:00Z,2025-03-04,177.418665,21.000000,3725.79,open,100.000,-458.13,302
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,PG,88,2025-02-26T14:31:00Z,2025-02-26,172.296105,23.000000,3962.81,open,106.000,-457.35,308
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,META,170,2025-08-13T13:31:00Z,2025-08-13,790.915160,5.000000,3954.58,open,8.000,-456.40,140
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,CRM,54,2025-01-29T14:36:00Z,2025-01-29,355.042433,11.000000,3905.47,open,33.000,-450.73,336
target08_let_run_scanner_off,strategies.realized_target_08_let_run,off,COST,71,2025-02-21T14:31:00Z,2025-02-21,1029.394440,3.000000,3088.18,open,45.000,-448.68,313
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,META,155,2025-08-13T13:31:00Z,2025-08-13,790.915160,5.000000,3954.58,open,8.000,-443.32,140
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,CRM,38,2025-01-29T14:36:00Z,2025-01-29,355.042433,11.000000,3905.47,open,33.000,-437.82,336
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,XOM,98,2025-03-26T14:06:00Z,2025-03-26,118.339140,32.000000,3786.85,open,52.000,-437.04,280
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,HD,38,2025-01-27T16:57:00Z,2025-01-27,420.550170,9.000000,3784.95,open,68.000,-436.82,338
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,UNH,126,2025-04-10T13:36:00Z,2025-04-10,584.952330,6.000000,3509.71,open,31.000,-431.56,265
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,MSFT,165,2025-08-01T13:31:00Z,2025-08-01,531.525630,7.000000,3720.68,open,10.000,-429.40,152
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,PG,72,2025-03-05T14:31:00Z,2025-03-05,173.876895,22.000000,3825.29,open,97.000,-428.83,301
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,HD,33,2025-01-27T16:57:00Z,2025-01-27,420.550170,9.000000,3784.95,open,68.000,-424.31,338
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,XOM,74,2025-03-27T13:31:00Z,2025-03-27,117.718830,32.000000,3767.00,open,50.000,-422.29,279
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,MSFT,152,2025-08-01T13:31:00Z,2025-08-01,531.525630,7.000000,3720.68,open,10.000,-417.10,152
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,UNH,102,2025-04-10T13:36:00Z,2025-04-10,584.952330,6.000000,3509.71,open,31.000,-405.06,265
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,MA,104,2025-05-13T13:57:00Z,2025-05-13,582.771240,6.000000,3496.63,open,62.000,-403.55,232
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,UNH,82,2025-04-15T13:31:00Z,2025-04-15,587.703705,6.000000,3526.22,open,30.000,-395.30,260
giveback_no_bull_scanner_top20,strategies.realized_giveback_no_bull,top20,COST,98,2025-02-18T14:32:00Z,2025-02-18,1056.272872,3.000000,3168.82,open,50.000,-389.65,316
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,MA,92,2025-05-21T16:27:00Z,2025-05-21,574.297005,6.000000,3445.78,open,67.000,-386.28,224
target04_fast_take_scanner_top20,strategies.realized_target_04_fast_take,top20,COST,80,2025-02-14T14:31:00Z,2025-02-14,1072.741102,3.000000,3218.22,open,51.000,-371.42,320
target08_let_run_scanner_top20,strategies.realized_target_08_let_run,top20,COST,55,2025-02-06T14:47:00Z,2025-02-06,1056.863167,3.000000,3170.59,open,50.000,-355.43,328
