scope,indicator,bucket,closed_trades,win_rate,win_rate_ci_low,win_rate_ci_high,avg_return_pct,median_return_pct,avg_duration_days,total_pnl,sample_confidence
family:risk_stack,decision_gap_pct,gap_-1_to_0pct,2081,0.4771744353676117,0.4557758732025966,0.49865711585518113,0.3586074430422713,-0.057465302795080005,7.057906521971275,35101.09012915001,high
family:risk_stack,decision_gap_pct,gap_0_to_1pct,2259,0.4785303231518371,0.4579842334707357,0.49914931047683886,0.5148334471159558,-0.03397086128921,7.844002078107324,54228.466087200126,high
family:risk_stack,decision_gap_pct,gap_1_to_2pct,623,0.449438202247191,0.4108051116377587,0.48869102901404227,0.7650053528380507,-0.20198980557510002,9.152666309969682,18811.12239314994,high
family:scratch_grid,decision_gap_pct,gap_lt_-1pct,579,0.4438687392055268,0.40390064966826894,0.4845767685530797,-0.20470229837223936,-0.25920478112099,6.576910621761658,-5127.95160770001,high
family:scratch_grid,decision_gap_pct,gap_-1_to_0pct,2246,0.4599287622439893,0.43940258641770935,0.48059178118576984,0.26162707790457285,-0.11613620740821,6.472664366280795,22137.8361868,high
family:scratch_grid,decision_gap_pct,gap_0_to_1pct,2412,0.4842454394693201,0.4643419054580115,0.5041990783548345,0.42442478033804887,-0.04063237398247,7.479303425004607,38940.795920500044,high
family:scratch_grid,decision_gap_pct,gap_1_to_2pct,689,0.49056603773584906,0.45339356033769046,0.5278431321472873,0.895339170312503,-0.04332496345865,7.753809869375907,23224.256413899973,high
all,duration_days,hold_0_1d,5570,0.4398563734290844,0.4268665748453237,0.4529290763263924,-0.3166653493039564,-0.11876575303958,0.995226161978855,-74628.81865494991,high
all,duration_days,hold_1_3d,3437,0.40849578120453883,0.39217296324571116,0.4250229227840322,-0.43358781942850944,-0.20002492291679,2.547320014224291,-60944.932081249994,high
all,duration_days,hold_3_7d,6524,0.4865113427345187,0.47439423814112264,0.4986443233337759,0.0012486185028051352,-0.03816093104731,5.310074660228898,4142.502611700035,high
all,duration_days,hold_7_14d,2464,0.5482954545454546,0.5285850820652811,0.5678554674416241,1.6367883095386868,0.28481608324875,10.57947922303391,164169.48029940005,high
all,duration_days,hold_14_30d,1853,0.6416621694549379,0.6195564880053095,0.6631816841683429,3.984227556658633,1.98394178610823,19.8586732475865,286990.9134334,high
all,duration_days,hold_30d_plus,845,0.642603550295858,0.6097121273789687,0.6742042122537732,4.683424116429735,2.48068598499171,98.7176775147929,151659.73541774997,high
family:anchor,duration_days,hold_0_1d,983,0.4252288911495422,0.3946731326363483,0.4563667910960927,-0.2933595798473539,-0.14107153339389,0.9953585961342828,-11013.706379049989,high
family:anchor,duration_days,hold_1_3d,616,0.41883116883116883,0.38049033330852783,0.45817812650443085,-0.4236004442202378,-0.198458988008785,2.548757665945166,-9537.298577900001,high
family:anchor,duration_days,hold_3_7d,1132,0.5044169611307421,0.4753249750646139,0.5334790694430006,0.11593577849715855,0.01262127419177,5.468467805261092,5674.120287450006,high
family:anchor,duration_days,hold_7_14d,425,0.5647058823529412,0.5171970251191554,0.6110554578489148,1.685255444939618,0.46379713816391,10.720098039215685,27606.917745500003,medium
family:anchor,duration_days,hold_14_30d,344,0.686046511627907,0.6351760621831688,0.7328075257488094,4.352379379903534,3.0860009021207153,20.047843992248065,55283.52924765,medium
family:anchor,duration_days,hold_30d_plus,174,0.6609195402298851,0.5877798005347877,0.7271071550481581,4.281754876007144,2.745580274279875,105.27246966794381,28709.502721300003,medium
