variant_id,family,net_profit_pct,drawdown_pct,return_dd_ratio,total_orders,sharpe,closed_trades,open_or_censored_trades,win_rate,win_rate_ci_low,win_rate_ci_high,avg_return_pct,median_return_pct,avg_pnl,median_pnl,total_trade_pnl,profit_factor,avg_duration_days,median_duration_days,p90_duration_days,avg_decision_rank,median_decision_rank,avg_decision_gap_pct,avg_decision_vol,avg_decision_tdist,sample_confidence
scratch_losscap_03,scratch_grid,5.65,18.3,0.3087431693989071,2204,0.279,1089,23,0.4756657483930211,0.4461415671997285,0.5053610110330181,0.2835293157777455,-0.054329808179989995,10.344460278328746,-1.961316000000352,11265.117243100005,1.2357040019735552,6.695678374655647,4.0,15.0,43.40220385674931,36.0,0.035886134067952255,5.78547015610652,0.0,high
pos_03_atr_075,risk_stack,5.616,13.7,0.40992700729927006,1870,0.338,922,23,0.46746203904555317,0.43545748225419667,0.4997366157426961,0.3314840588890802,-0.077423461072745,10.090203757754889,-2.3169037500001366,9303.167864650008,1.32815026924389,7.79403169438419,4.0,15.0,43.41106290672451,33.0,0.048915401301518446,5.777022776572668,0.0,high
pos_05_atr_050,risk_stack,5.548,22.2,0.2499099099099099,1822,0.257,898,23,0.4665924276169265,0.4341740508670211,0.4992954187161073,0.3509831163274048,-0.08150242194363999,13.648138271158137,-4.117820000000108,12256.028167500008,1.2680990744643563,7.596433432318733,4.0,14.987847222222223,41.90089086859688,24.0,0.044354120267260586,5.875792873051225,0.0,high
entry_near_020,entry_trigger,5.329,18.9,0.28195767195767196,2055,0.263,1015,23,0.4600985221674877,0.42964409431002787,0.4908538515924559,0.29482738727161484,-0.1013072671415,9.957327425566525,-4.080649999999878,10106.687336950023,1.2192258538979968,7.158435960591133,4.0,15.0,43.501477832512315,32.0,0.06417733990147784,5.907406896551724,0.0,high
scratch_patient,anchor,5.24,19.4,0.2701030927835052,2011,0.261,993,23,0.4702920443101712,0.43942178008479793,0.5013912838964806,0.34179160842252654,-0.07332856697648,12.47553029889225,-2.9924300000002404,12388.201586800005,1.3514783724028143,7.017417058296967,4.0,12.992361111111114,47.3313192346425,35.0,0.02450151057401813,5.718054380664653,0.0,high
scratch_7d_patient,scratch_grid,5.08,18.4,0.27608695652173915,1696,0.252,835,23,0.48383233532934133,0.45008743886635183,0.517725316247367,0.4442715250089965,-0.04539022414534,16.630304649221557,-1.8610355999999229,13886.3043821,1.4517877601528248,8.522130738522954,4.0,15.0,48.01556886227545,42.0,0.0754251497005988,5.556505389221557,0.0,high
entry_near_010,entry_trigger,4.624,17.8,0.25977528089887636,1613,0.234,794,23,0.4722921914357683,0.4377835931846482,0.5070676153760487,0.4299512336899323,-0.072117535526975,15.698482107745592,-2.9231440250002834,12464.59479355,1.3909200747815749,8.478790582143857,4.899305555555555,15.0,44.2015113350126,35.0,0.0346095717884131,5.444127204030227,0.0,high
scratch_fast,anchor,4.584,18.8,0.24382978723404253,1661,0.228,818,23,0.4731051344743276,0.439095390462348,0.5073663121333833,0.3527939580775888,-0.07834461175346999,13.528000549816623,-2.9938171500003534,11065.904449749998,1.3137941366703152,8.515009508285791,4.0,16.0,41.31907090464548,26.5,0.07581907090464547,5.78441075794621,0.0,high
scratch_2d_low_mfe,scratch_grid,4.44,18.4,0.241304347826087,2045,0.221,1010,23,0.44653465346534654,0.41613499342880494,0.47733949015916394,0.27363675484247385,-0.14803465445487002,10.454441825346532,-5.658956250000045,10558.986243599997,1.245619110219259,6.908144251925193,3.0,15.0,43.193069306930695,34.0,0.06448514851485149,5.708189108910892,0.0,high
scratch_roundtrip_wide_01,scratch_grid,4.358,18.3,0.23814207650273223,2391,0.217,1182,23,0.4847715736040609,0.45637551877843724,0.5132662951029446,0.26385412488496524,-0.05947439589042,9.750480139551602,-2.2942599999998947,11525.067524949993,1.2775263661950507,5.897874952998684,3.0,11.0,43.56345177664975,27.0,0.021582064297800335,5.829750423011845,0.0,high
