backtest_id,symbol,entry_dt,year,decision_score,cond_0,cond_1,cond_2,cond_3,cond_4,cond_5,cond_6,cond_7,decision_gap,decision_vol,decision_rank,decision_tdist,exit_reason,censored,context_status,ret,pnl,m2m_ret,m2m_source
627cdd7298c83d8a5e92ccb2de9781a4,WAL,2024-08-15T19:50:00+00:00,2024,7,True,True,True,True,True,True,False,True,0.0383,1.897,876,0.0,censored_open,True,OK,0.07854750444688084,944.1453000000008,0.07854750444688084,local_parquet
77780eeb909025efedb9086d5f76e1f8,STT,2022-01-07T20:50:00+00:00,2022,8,True,True,True,True,True,True,True,True,0.0321,1.699,543,0.0,stop_market,False,OK,-0.07967477326696769,-789.3923050000011,,
77780eeb909025efedb9086d5f76e1f8,PNC,2022-01-06T20:50:00+00:00,2022,8,True,True,True,True,True,True,True,True,0.0375,1.409,299,0.0,stop_market,False,OK,-0.07493067579355271,-743.5002375000006,,
77780eeb909025efedb9086d5f76e1f8,KRE,2022-01-06T20:50:00+00:00,2022,8,True,True,True,True,True,True,True,True,0.038,2.048,151,0.0,stop_market,False,OK,-0.08218428558024923,-811.8653700000006,,
77780eeb909025efedb9086d5f76e1f8,FCX,2022-01-07T20:50:00+00:00,2022,7,True,True,True,True,True,False,True,True,0.0321,1.61,171,0.0,stop_market,False,OK,-0.0547212118989755,-545.1818400000004,,
77780eeb909025efedb9086d5f76e1f8,XOP,2022-01-11T20:50:00+00:00,2022,8,True,True,True,True,True,True,True,True,0.045,1.107,168,0.0,stop_market,False,OK,-0.10810788703192202,-1093.922730000001,,
77780eeb909025efedb9086d5f76e1f8,TSM,2022-01-04T14:34:00+00:00,2022,8,True,True,True,True,True,True,True,True,0.0304,1.136,108,0.0,stop_market,False,OK,-0.08378526012554138,-834.5411249999994,,
77780eeb909025efedb9086d5f76e1f8,UNG,2022-02-02T14:31:00+00:00,2022,7,True,False,True,True,True,True,True,True,0.0848,7.251,771,0.0,stop_market,False,OK,-0.21437886386395164,-2147.349150000001,,
77780eeb909025efedb9086d5f76e1f8,HSBC,2022-02-01T20:51:00+00:00,2022,7,True,True,True,True,True,True,False,True,0.0378,2.023,853,0.0,stop_market,False,OK,-0.1021983660254357,-1030.5886500000001,,
77780eeb909025efedb9086d5f76e1f8,CPRI,2022-02-08T20:50:00+00:00,2022,8,True,True,True,True,True,True,True,True,0.0517,1.477,763,0.0,stop_market,False,OK,-0.10574901035689893,-1038.9067200000009,,
